"species"	"hexcount"	"data_fams"
"Acinonyx_jubatus_Centroid"	3121	"Felidae"
"Ailuropoda_melanoleuca_Centroid"	90	"Ursidae"
"Ailurus_fulgens_Centroid"	298	"Ailuridae"
"Aonyx_capensis_Centroid"	5298	"Mustelidae"
"Aonyx_cinereus_Centroid"	2707	"Mustelidae"
"Aonyx_congicus_Centroid"	1323	"Mustelidae"
"Arctictis_binturong_Centroid"	1771	"Viverridae"
"Arctocephalus_australis_Centroid"	1198	"Otariidae"
"Arctocephalus_forsteri_Centroid"	5033	"Otariidae"
"Arctocephalus_galapagoensis_Centroid"	84	"Otariidae"
"Arctocephalus_gazella_Centroid"	6183	"Otariidae"
"Arctocephalus_philippii_Centroid"	1665	"Otariidae"
"Arctocephalus_pusillus_Centroid"	810	"Otariidae"
"Arctocephalus_townsendi_Centroid"	665	"Otariidae"
"Arctocephalus_tropicalis_Centroid"	5918	"Otariidae"
"Arctogalidia_trivirgata_Centroid"	1606	"Viverridae"
"Arctonyx_albogularis_Centroid"	1944	"Mustelidae"
"Arctonyx_collaris_Centroid"	915	"Mustelidae"
"Arctonyx_hoevenii_Centroid"	129	"Mustelidae"
"Atelocynus_microtis_Centroid"	1295	"Canidae"
"Atilax_paludinosus_Centroid"	6135	"Herpestidae"
"Bassaricyon_alleni_Centroid"	2013	"Procyonidae"
"Bassaricyon_gabbii_Centroid"	134	"Procyonidae"
"Bassaricyon_medius_Centroid"	189	"Procyonidae"
"Bassaricyon_neblina_Centroid"	130	"Procyonidae"
"Bassariscus_astutus_Centroid"	1955	"Procyonidae"
"Bassariscus_sumichrasti_Centroid"	392	"Procyonidae"
"Bdeogale_crassicauda_Centroid"	860	"Herpestidae"
"Bdeogale_jacksoni_Centroid"	69	"Herpestidae"
"Bdeogale_nigripes_Centroid"	1025	"Herpestidae"
"Bdeogale_omnivora_Centroid"	50	"Herpestidae"
"Callorhinus_ursinus_Centroid"	7359	"Otariidae"
"Canis_adustus_Centroid"	4797	"Canidae"
"Canis_aureus_Centroid"	12007	"Canidae"
"Canis_latrans_Centroid"	7581	"Canidae"
"Canis_lupus_Centroid"	23487	"Canidae"
"Canis_mesomelas_Centroid"	2902	"Canidae"
"Canis_rufus_Centroid"	12	"Canidae"
"Canis_simensis_Centroid"	39	"Canidae"
"Caracal_aurata_Centroid"	2009	"Felidae"
"Caracal_caracal_Centroid"	8423	"Felidae"
"Catopuma_badia_Centroid"	222	"Felidae"
"Catopuma_temminckii_Centroid"	1142	"Felidae"
"Cerdocyon_thous_Centroid"	3917	"Canidae"
"Chrotogale_owstoni_Centroid"	202	"Viverridae"
"Chrysocyon_brachyurus_Centroid"	2037	"Canidae"
"Civettictis_civetta_Centroid"	6442	"Viverridae"
"Conepatus_chinga_Centroid"	2280	"Mephitidae"
"Conepatus_humboldtii_Centroid"	382	"Mephitidae"
"Conepatus_leuconotus_Centroid"	1253	"Mephitidae"
"Conepatus_semistriatus_Centroid"	1251	"Mephitidae"
"Crocuta_crocuta_Centroid"	6351	"Hyaenidae"
"Crossarchus_alexandri_Centroid"	667	"Herpestidae"
"Crossarchus_ansorgei_Centroid"	312	"Herpestidae"
"Crossarchus_obscurus_Centroid"	296	"Herpestidae"
"Crossarchus_platycephalus_Centroid"	308	"Herpestidae"
"Cryptoprocta_ferox_Centroid"	317	"Eupleridae"
"Cuon_alpinus_Centroid"	2224	"Canidae"
"Cynictis_penicillata_Centroid"	1061	"Herpestidae"
"Cynogale_bennettii_Centroid"	800	"Viverridae"
"Cystophora_cristata_Centroid"	3919	"Phocidae"
"Diplogale_hosei_Centroid"	118	"Viverridae"
"Dologale_dybowskii_Centroid"	284	"Herpestidae"
"Eira_barbara_Centroid"	5939	"Mustelidae"
"Enhydra_lutris_Centroid"	1246	"Mustelidae"
"Erignathus_barbatus_Centroid"	8069	"Phocidae"
"Eumetopias_jubatus_Centroid"	3371	"Otariidae"
"Eupleres_goudotii_Centroid"	134	"Eupleridae"
"Eupleres_major_Centroid"	59	"Eupleridae"
"Felis_bieti_Centroid"	354	"Felidae"
"Felis_chaus_Centroid"	4045	"Felidae"
"Felis_margarita_Centroid"	2227	"Felidae"
"Felis_nigripes_Centroid"	914	"Felidae"
"Felis_silvestris_Centroid"	14118	"Felidae"
"Fossa_fossana_Centroid"	133	"Eupleridae"
"Galictis_cuja_Centroid"	3378	"Mustelidae"
"Galictis_vittata_Centroid"	4472	"Mustelidae"
"Galidia_elegans_Centroid"	150	"Eupleridae"
"Galidictis_fasciata_Centroid"	117	"Eupleridae"
"Galidictis_grandidieri_Centroid"	14	"Eupleridae"
"Genetta_abyssinica_Centroid"	278	"Viverridae"
"Genetta_angolensis_Centroid"	781	"Viverridae"
"Genetta_bourloni_Centroid"	117	"Viverridae"
"Genetta_cristata_Centroid"	85	"Viverridae"
"Genetta_genetta_Centroid"	6383	"Viverridae"
"Genetta_johnstoni_Centroid"	206	"Viverridae"
"Genetta_maculata_Centroid"	5509	"Viverridae"
"Genetta_pardina_Centroid"	694	"Viverridae"
"Genetta_piscivora_Centroid"	145	"Viverridae"
"Genetta_poensis_Centroid"	101	"Viverridae"
"Genetta_servalina_Centroid"	1473	"Viverridae"
"Genetta_thierryi_Centroid"	1205	"Viverridae"
"Genetta_tigrina_Centroid"	160	"Viverridae"
"Genetta_victoriae_Centroid"	325	"Viverridae"
"Gulo_gulo_Centroid"	11651	"Mustelidae"
"Halichoerus_grypus_Centroid"	2275	"Phocidae"
"Helarctos_malayanus_Centroid"	1632	"Ursidae"
"Helogale_hirtula_Centroid"	480	"Herpestidae"
"Helogale_parvula_Centroid"	3155	"Herpestidae"
"Hemigalus_derbyanus_Centroid"	826	"Viverridae"
"Herpailurus_yagouaroundi_Centroid"	6662	"Felidae"
"Herpestes_auropunctatus_Centroid"	2004	"Herpestidae"
"Herpestes_brachyurus_Centroid"	733	"Herpestidae"
"Herpestes_edwardsii_Centroid"	2060	"Herpestidae"
"Herpestes_flavescens_Centroid"	152	"Herpestidae"
"Herpestes_fuscus_Centroid"	92	"Herpestidae"
"Herpestes_ichneumon_Centroid"	6796	"Herpestidae"
"Herpestes_javanicus_Centroid"	1262	"Herpestidae"
"Herpestes_naso_Centroid"	1254	"Herpestidae"
"Herpestes_ochraceus_Centroid"	270	"Herpestidae"
"Herpestes_pulverulentus_Centroid"	399	"Herpestidae"
"Herpestes_sanguineus_Centroid"	7181	"Herpestidae"
"Herpestes_semitorquatus_Centroid"	687	"Herpestidae"
"Herpestes_smithii_Centroid"	919	"Herpestidae"
"Herpestes_urva_Centroid"	2074	"Herpestidae"
"Herpestes_vitticollis_Centroid"	181	"Herpestidae"
"Histriophoca_fasciata_Centroid"	3809	"Phocidae"
"Hyaena_hyaena_Centroid"	10318	"Hyaenidae"
"Hydrictis_maculicollis_Centroid"	4599	"Mustelidae"
"Hydrurga_leptonyx_Centroid"	1731	"Phocidae"
"Ichneumia_albicauda_Centroid"	6400	"Herpestidae"
"Ictonyx_libycus_Centroid"	2544	"Mustelidae"
"Ictonyx_striatus_Centroid"	6600	"Mustelidae"
"Leopardus_colocolo_Centroid"	2452	"Felidae"
"Leopardus_geoffroyi_Centroid"	1639	"Felidae"
"Leopardus_guigna_Centroid"	213	"Felidae"
"Leopardus_guttulus_Centroid"	1015	"Felidae"
"Leopardus_jacobita_Centroid"	432	"Felidae"
"Leopardus_pardalis_Centroid"	6478	"Felidae"
"Leopardus_tigrinus_Centroid"	4143	"Felidae"
"Leopardus_wiedii_Centroid"	5641	"Felidae"
"Leptailurus_serval_Centroid"	5685	"Felidae"
"Leptonychotes_weddellii_Centroid"	1731	"Phocidae"
"Liberiictis_kuhni_Centroid"	67	"Herpestidae"
"Lobodon_carcinophaga_Centroid"	1391	"Phocidae"
"Lontra_canadensis_Centroid"	7153	"Mustelidae"
"Lontra_felina_Centroid"	292	"Mustelidae"
"Lontra_longicaudis_Centroid"	6560	"Mustelidae"
"Lontra_provocax_Centroid"	201	"Mustelidae"
"Lutra_lutra_Centroid"	13119	"Mustelidae"
"Lutra_sumatrana_Centroid"	583	"Mustelidae"
"Lutrogale_perspicillata_Centroid"	2600	"Mustelidae"
"Lycalopex_culpaeus_Centroid"	1410	"Canidae"
"Lycalopex_fulvipes_Centroid"	46	"Canidae"
"Lycalopex_griseus_Centroid"	960	"Canidae"
"Lycalopex_gymnocercus_Centroid"	1302	"Canidae"
"Lycalopex_sechurae_Centroid"	110	"Canidae"
"Lycalopex_vetulus_Centroid"	834	"Canidae"
"Lycaon_pictus_Centroid"	1287	"Canidae"
"Lyncodon_patagonicus_Centroid"	668	"Mustelidae"
"Lynx_canadensis_Centroid"	4017	"Felidae"
"Lynx_lynx_Centroid"	10495	"Felidae"
"Lynx_pardinus_Centroid"	16	"Felidae"
"Lynx_rufus_Centroid"	4528	"Felidae"
"Macrogalidia_musschenbroekii_Centroid"	83	"Viverridae"
"Martes_americana_Centroid"	3773	"Mustelidae"
"Martes_flavigula_Centroid"	3651	"Mustelidae"
"Martes_foina_Centroid"	6232	"Mustelidae"
"Martes_gwatkinsii_Centroid"	40	"Mustelidae"
"Martes_martes_Centroid"	4921	"Mustelidae"
"Martes_melampus_Centroid"	245	"Mustelidae"
"Martes_pennanti_Centroid"	2008	"Mustelidae"
"Martes_zibellina_Centroid"	4882	"Mustelidae"
"Meles_anakuma_Centroid"	220	"Mustelidae"
"Meles_leucurus_Centroid"	7072	"Mustelidae"
"Meles_meles_Centroid"	4827	"Mustelidae"
"Mellivora_capensis_Centroid"	12812	"Mustelidae"
"Melogale_cucphuongensis_Centroid"	4	"Mustelidae"
"Melogale_everetti_Centroid"	3	"Mustelidae"
"Melogale_moschata_Centroid"	1498	"Mustelidae"
"Melogale_orientalis_Centroid"	120	"Mustelidae"
"Melogale_personata_Centroid"	1023	"Mustelidae"
"Melursus_ursinus_Centroid"	876	"Ursidae"
"Mephitis_macroura_Centroid"	921	"Mephitidae"
"Mephitis_mephitis_Centroid"	5362	"Mephitidae"
"Mirounga_angustirostris_Centroid"	4510	"Phocidae"
"Mirounga_leonina_Centroid"	19975	"Phocidae"
"Monachus_monachus_Centroid"	305	"Phocidae"
"Mungos_gambianus_Centroid"	803	"Herpestidae"
"Mungos_mungo_Centroid"	4762	"Herpestidae"
"Mungotictis_decemlineata_Centroid"	35	"Eupleridae"
"Mustela_africana_Centroid"	2255	"Mustelidae"
"Mustela_altaica_Centroid"	2886	"Mustelidae"
"Mustela_erminea_Centroid"	19148	"Mustelidae"
"Mustela_eversmanii_Centroid"	6137	"Mustelidae"
"Mustela_felipei_Centroid"	74	"Mustelidae"
"Mustela_frenata_Centroid"	5804	"Mustelidae"
"Mustela_itatsi_Centroid"	242	"Mustelidae"
"Mustela_kathiah_Centroid"	1597	"Mustelidae"
"Mustela_lutreola_Centroid"	474	"Mustelidae"
"Mustela_lutreolina_Centroid"	160	"Mustelidae"
"Mustela_nigripes_Centroid"	14	"Mustelidae"
"Mustela_nivalis_Centroid"	19690	"Mustelidae"
"Mustela_nudipes_Centroid"	785	"Mustelidae"
"Mustela_putorius_Centroid"	2884	"Mustelidae"
"Mustela_russelliana_Centroid"	36	"Mustelidae"
"Mustela_sibirica_Centroid"	6043	"Mustelidae"
"Mustela_strigidorsa_Centroid"	759	"Mustelidae"
"Mustela_subpalmata_Centroid"	46	"Mustelidae"
"Mustela_tonkinensis_Centroid"	10	"Mustelidae"
"Mydaus_javanensis_Centroid"	98	"Mephitidae"
"Mydaus_marchei_Centroid"	39	"Mephitidae"
"Nandinia_binotata_Centroid"	2822	"Nandiniidae"
"Nasua_narica_Centroid"	1516	"Procyonidae"
"Nasua_nasua_Centroid"	4520	"Procyonidae"
"Nasuella_meridensis_Centroid"	24	"Procyonidae"
"Nasuella_olivacea_Centroid"	226	"Procyonidae"
"Neofelis_diardi_Centroid"	500	"Felidae"
"Neofelis_nebulosa_Centroid"	1373	"Felidae"
"Neomonachus_schauinslandi_Centroid"	258	"Phocidae"
"Neophoca_cinerea_Centroid"	357	"Otariidae"
"Neovison_vison_Centroid"	6527	"Mustelidae"
"Nyctereutes_procyonoides_Centroid"	3033	"Canidae"
"Odobenus_rosmarus_Centroid"	4744	"Odobenidae"
"Ommatophoca_rossii_Centroid"	1391	"Phocidae"
"Otaria_byronia_Centroid"	1506	"Otariidae"
"Otocolobus_manul_Centroid"	4071	"Felidae"
"Otocyon_megalotis_Centroid"	2296	"Canidae"
"Pagophilus_groenlandicus_Centroid"	5354	"Phocidae"
"Paguma_larvata_Centroid"	3300	"Viverridae"
"Panthera_leo_Centroid"	1797	"Felidae"
"Panthera_onca_Centroid"	4692	"Felidae"
"Panthera_pardus_Centroid"	7124	"Felidae"
"Panthera_tigris_Centroid"	1200	"Felidae"
"Panthera_uncia_Centroid"	2072	"Felidae"
"Paracynictis_selousi_Centroid"	933	"Herpestidae"
"Paradoxurus_hermaphroditus_Centroid"	4010	"Viverridae"
"Paradoxurus_jerdoni_Centroid"	97	"Viverridae"
"Paradoxurus_zeylonensis_Centroid"	36	"Viverridae"
"Parahyaena_brunnea_Centroid"	1137	"Hyaenidae"
"Pardofelis_marmorata_Centroid"	1286	"Felidae"
"Phoca_largha_Centroid"	3800	"Phocidae"
"Phoca_vitulina_Centroid"	5032	"Phocidae"
"Phocarctos_hookeri_Centroid"	448	"Otariidae"
"Poecilogale_albinucha_Centroid"	2562	"Mustelidae"
"Poiana_leightoni_Centroid"	58	"Viverridae"
"Poiana_richardsonii_Centroid"	936	"Viverridae"
"Potos_flavus_Centroid"	5510	"Procyonidae"
"Prionailurus_bengalensis_Centroid"	4873	"Felidae"
"Prionailurus_planiceps_Centroid"	524	"Felidae"
"Prionailurus_rubiginosus_Centroid"	1159	"Felidae"
"Prionailurus_viverrinus_Centroid"	483	"Felidae"
"Prionodon_linsang_Centroid"	889	"Prionodontidae"
"Prionodon_pardicolor_Centroid"	1233	"Prionodontidae"
"Procyon_cancrivorus_Centroid"	5555	"Procyonidae"
"Procyon_lotor_Centroid"	5521	"Procyonidae"
"Procyon_pygmaeus_Centroid"	7	"Procyonidae"
"Proteles_cristata_Centroid"	2818	"Hyaenidae"
"Pteronura_brasiliensis_Centroid"	2832	"Mustelidae"
"Puma_concolor_Centroid"	10117	"Felidae"
"Pusa_caspica_Centroid"	245	"Phocidae"
"Pusa_hispida_Centroid"	9587	"Phocidae"
"Pusa_sibirica_Centroid"	49	"Phocidae"
"Rhynchogale_melleri_Centroid"	1032	"Herpestidae"
"Salanoia_concolor_Centroid"	35	"Eupleridae"
"Speothos_venaticus_Centroid"	5020	"Canidae"
"Spilogale_angustifrons_Centroid"	479	"Mephitidae"
"Spilogale_gracilis_Centroid"	1812	"Mephitidae"
"Spilogale_putorius_Centroid"	1432	"Mephitidae"
"Spilogale_pygmaea_Centroid"	129	"Mephitidae"
"Suricata_suricatta_Centroid"	864	"Herpestidae"
"Taxidea_taxus_Centroid"	3928	"Mustelidae"
"Tremarctos_ornatus_Centroid"	558	"Ursidae"
"Urocyon_cinereoargenteus_Centroid"	4334	"Canidae"
"Urocyon_littoralis_Centroid"	18	"Canidae"
"Ursus_americanus_Centroid"	5787	"Ursidae"
"Ursus_arctos_Centroid"	13710	"Ursidae"
"Ursus_maritimus_Centroid"	9598	"Ursidae"
"Ursus_thibetanus_Centroid"	2997	"Ursidae"
"Viverra_megaspila_Centroid"	613	"Viverridae"
"Viverra_tangalunga_Centroid"	1134	"Viverridae"
"Viverra_zibetha_Centroid"	1487	"Viverridae"
"Viverricula_indica_Centroid"	4033	"Viverridae"
"Vormela_peregusna_Centroid"	3959	"Mustelidae"
"Vulpes_bengalensis_Centroid"	1455	"Canidae"
"Vulpes_cana_Centroid"	1675	"Canidae"
"Vulpes_chama_Centroid"	988	"Canidae"
"Vulpes_corsac_Centroid"	4062	"Canidae"
"Vulpes_ferrilata_Centroid"	1050	"Canidae"
"Vulpes_lagopus_Centroid"	7171	"Canidae"
"Vulpes_macrotis_Centroid"	944	"Canidae"
"Vulpes_pallida_Centroid"	1881	"Canidae"
"Vulpes_rueppellii_Centroid"	5612	"Canidae"
"Vulpes_velox_Centroid"	431	"Canidae"
"Vulpes_vulpes_Centroid"	21309	"Canidae"
"Vulpes_zerda_Centroid"	3700	"Canidae"
"Zalophus_californianus_Centroid"	1235	"Otariidae"
"Zalophus_wollebaeki_Centroid"	96	"Otariidae"
